name,age,height,weight,arm,hand_long,hand_width,stand_reach,ground_reach,run_reach,3/4_dash,limit_move,team,sp_en_score,ball_score,test_score
马力克,19,197,94,198,19.5,8.5,256,333,344,3.333,12.267,广东东莞大益,140,58,198
王薪凯,26,197,92,192,20,8.5,251,320,332,3.439,11.819,广东东莞大益,118,120,238
赵睿,25,195,93,194,20,8.5,245,320,337,3.348,10.986,广东东莞大益,138,104,242
赵锦洋,20,197,81,195,20.5,8,251,331,342,3.237,11.353,广东东莞大益,132,70,202
徐昕,18,226,112,226,22,10,288,349,363,3.469,12.874,广东东莞大益,90,90,180
张昊,19,205,97,205,21.5,8.5,267,337,357,3.324,12.110,广东东莞大益,144,64,208
曾繁日,25,205,108,213,20.5,9.5,268,335,346,3.400,11.358,广东东莞大益,110,102,212
张皓嘉,21,199,104,202,21.5,8,258,328,329,3.422,11.690,广东东莞大益,130,97,227
张明池,19,213,110,206,22,10,269,321,331,4.292,15.021,广东东莞大益,130,50,180
周鹏,32,206,104,204,21,9,265,327,334,3.392,12.570,广东东莞大益,,,
任骏飞,31,203,96,206,21,9,265,324,328,3.936,12.794,广东东莞大益,,,
徐杰,21,179,67,177,18.5,8.5,229,305,318,3.439,11.324,广东东莞大益,,,
胡明轩,23,191,81,194,20,9,245,324,336,3.432,11.803,广东东莞大益,,,
易建联,34,212,120,224,24,11,277,337,339,3.930,14.959,广东东莞大益,,,
苏伟,32,214,126,216,23,9.5,279,317,330,3.756,14.088,广东东莞大益,,,
杜润旺,22,206,109,206,21,9,263,327,337,3.629,13.635,广东东莞大益,,,
刘权标,22,197,93,201,21,9.5,253,,,3.421,11.643,广东东莞大益,138,76,214
付豪,24,208,112,205,21,9.5,267,334,344,3.374,12.794,辽宁本钢,134,73,207
周俊成,22,192,85,197,21,8.5,249,324,343,3.254,11.531,辽宁本钢,136,53,189
马壮,22,192,91,195,21,9,251,310,325,3.365,11.229,辽宁本钢,100,104,204
丛明晨,26,200,94,198,21,9,256,324,339,3.395,12.107,辽宁本钢,130,129,259
刘雁宇,22,212,86,208,20,8,273,355,376,3.104,11.737,辽宁本钢,150,73,223
孙锴祺,28,205,89,210,22,9,272,338,350,,,辽宁本钢,·,·,·
吴昌泽,21,202,102,200,22,10,260,345,355,3.224,12.034,辽宁本钢,132,64,196
俞泽辰,21,201,94,196,20,9,257,326,352,3.315,12.209,辽宁本钢,136,83,219
卢梓杰,22,206,104,212,22.5,8,270,330,340,3.405,12.260,辽宁本钢,118,78,196
王化东,22,203,107,202,20,9,265,323,335,3.447,12.693,辽宁本钢,132,76,208
郭旭,26,196,84,196,21,9,249,320,334,3.326,12.232,辽宁本钢,148,97,245
朱荣振,22,218,115,215,22,10,279,339,351,3.534,13.122,辽宁本钢,90,109,199
鄢手骐,24,189,87,186,20,9,241,322,334,3.169,12.076,辽宁本钢,110,97,207
赵继伟,26,183,79,182,19,8.5,235,300,316,3.171,11.657,辽宁本钢,,,
张镇麟,22,205,102,204,21,9,266,348,365,2.911,10.881,辽宁本钢,,,
韩德君,34,215,123,219,23,10,279,333,350,3.270,12.887,辽宁本钢,,,
李晓旭,31,207,105,208,22,9.5,266,328,347,3.179,12.379,辽宁本钢,,,
刘志轩,30,196,88,198,21,9,248,321,336,3.516,11.472,辽宁本钢,,,
郭艾伦,28,190,84,196,21.5,9,250,317,334,3.258,12.603,辽宁本钢,,,
陆翊铭,19,190,69,194,19,7.5,242,313,330,3.013,11.007,浙江稠州金租,150,70,220
任骏哲,18,180,75,184,19,8.5,232,313,320,3.124,11.188,浙江稠州金租,124,90,214
林孝天,22,192,87,196,20,8.5,246,320,334,3.002,11.535,浙江稠州金租,136,76,212
程帅澎,22,191,90,187,19.5,8.5,242,311,330,3.220,12.318,浙江稠州金租,146,97,243
孙岩松,21,206,91,206,22,9,263,337,356,3.122,11.631,浙江稠州金租,138,76,214
刘泽一,22,201,103,201,21,9,263,333,350,2.814,11.382,浙江稠州金租,150,60,210
余嘉豪,18,221,130,226,24,11,285,338,352,3.374,13.414,浙江稠州金租,90,131,221
时振恺,19,196,96,205,22,9,255,319,331,3.098,12.402,浙江稠州金租,138,76,214
张洪硕,19,200,93,201,21,9,257,331,347,3.052,12.156,浙江稠州金租,120,73,193
王奕博,22,182,88,189,19,8.5,239,315,327,2.802,11.904,浙江稠州金租,138,83,221
吕杭迅,19,185,72,184,19,8,236,305,331,2.906,11.092,浙江稠州金租,118,112,230
郭阔,18,187,73,189,19,9,238,306,314,2.948,11.640,浙江稠州金租,134,76,210
赖俊豪,26,206,93,211,22,9,264,341,347,3.070,12.352,浙江稠州金租,138,73,211
王仔路,24,200,91,202,20,8.5,258,326,345,2.918,11.326,浙江稠州金租,150,90,240
张大宇,30,214,109,208,23,9.5,275,335,347,3.140,12.235,浙江稠州金租,,,
吴前,27,188,82,196,21,9,244,318,334,2.991,11.677,浙江稠州金租,,,
陆文博,24,192,93,189,20,9,245,322,348,2.845,10.840,浙江稠州金租,,,
朱旭航,28,201,95,210,22,9,265,335,346,3.082,12.165,浙江稠州金租,,,
侯沛佐,22,200,88,196,20,9,250,324,341,3.078,12.269,山东高速,132,97,229
刘毅,25,192,93,195,21,10,250,322,330,3.054,11.479,山东高速,108,84,192
王文宇,24,182,81,183,19.5,9,227,311,321,2.828,11.626,山东高速,120,70,190
马鑫鑫,18,209,110,211,23,10,276,336,357,3.250,12.661,山东高速,92,90,182
焦海龙,24,206,103,208,22,9,265,325,344,2.979,12.397,山东高速,130,68,198
文雁行,26,184,77,185,19,8,236,311,317,2.833,12.647,山东高速,90,97,187
司坤,26,196,92,201,20,8.5,255,327,345,3.115,11.738,山东高速,116,104,220
马光翰,22,182,77,180,18,8,235,300,320,3.347,11.915,山东高速,96,90,186
刘冠岑,26,200,91,201,21,8.5,257,335,353,3.126,11.857,山东高速,150,53,203
陈培东,22,189,89,187,21,9,242,309,322,3.115,11.594,山东高速,128,90,218
高诗岩,25,186,82,182,20,9,238,309,323,3.281,11.503,山东高速,,,
李敬宇,30,198,97,200,21,9,256,305,322,3.369,12.727,山东高速,,,
乔文瀚,30,195,93,189,19,9.5,250,311,327,3.097,11.532,山东高速,,,
贾诚,30,208,106,205,22.5,9.5,267,335,343,3.562,13.053,山东高速,,,
王汝恒,31,192,94,195,20,8.5,249,317,326,3.182,11.682,山东高速,,,
陶汉林,30,207,129,211,23,10,275,338,355,3.574,13.147,山东高速,,,
丁彦雨航,28,200,99,197,20,8.5,255,335,335,3.355,13.360,山东高速,,,
于德豪,26,190,92,194,20,8.5,246,318,325,3.352,12.004,新疆伊力王酒,108,83,191
唐才育,24,196,86,197,20.5,8,252,321,332,3.231,12.193,新疆伊力王酒,122,120,242
艾孜麦提·吐逊,19,203,125,206,21,9.5,260,318,333,3.448,13.171,新疆伊力王酒,96,96,192
朱传宇,23,226,122,229,25,11,294,342,353,3.956,15.305,新疆伊力王酒,90,90,180
西尔扎提·赛买提,20,193,85,191,21,8.5,245,309,322,3.345,12.365,新疆伊力王酒,116,97,213
热甫卡提江·吐送江,23,203,97,209,21.5,8.5,261,329,338,3.481,11.993,新疆伊力王酒,106,78,184
齐麟,22,199,91,202,22,9,262,334,349,3.295,11.954,新疆伊力王酒,126,64,190
鲁吐布拉,22,207,109,214,21,9,272,339,357,3.439,13.112,新疆伊力王酒,150,90,240
阿尔斯兰,25,185,82,185,19,9,236,300,320,3.278,11.282,新疆伊力王酒,118,104,222
伊力福拉提·莫合坦尔,21,195,93,198,21,9.5,251,322,344,3.312,10.999,新疆伊力王酒,128,97,225
于晓辉,23,213,103,218,22,10,277,336,347,3.471,12.626,新疆伊力王酒,140,73,213
孙昊淼,18,206,103,207,21,9.5,266,332,348,3.392,11.793,新疆伊力王酒,128,112,240
郭昱彰,18,201,88,207,22,9,260,329,343,3.319,11.802,新疆伊力王酒,150,70,220
曾令旭,34,192,88,197,20,8.5,251,312,325,3.431,12.439,新疆伊力王酒,,,
阿不都沙拉木·阿不都热西提,25,203,98,209,21.5,9,264,319,341,3.607,13.052,新疆伊力王酒,,,
刘力鹏,24,195,86,198,20,8.5,255,314,324,,,新疆伊力王酒,·,·,·
梁英淇,21,207,110,209,21,9,270,336,342,,,新疆伊力王酒,·,·,·
王庆明,29,201,110,200,22,9,258,327,338,3.191,11.438,青岛每日优鲜,90,116,206
邵英伦,25,203,91,202,21,9,258,327,327,3.271,11.673,青岛每日优鲜,112,90,202
杨金蒙,25,190,88,192,20,9,242,316,331,3.578,12.746,青岛每日优鲜,114,83,197
吕俊虎,22,205,92,198,21,10.5,259,325,339,3.198,11.754,青岛每日优鲜,150,83,233
王睿泽,26,197,93,196,21.5,10,255,329,341,3.443,12.173,青岛每日优鲜,150,83,233
王洪,29,182,73,180,18.5,9.5,230,292,317,3.186,12.041,青岛每日优鲜,146,64,210
刘家昕,20,185,74,181,20,8,234,306,320,3.112,11.757,青岛每日优鲜,130,104,234
洪仲桦,22,191,91,190,19,8.5,243,314,327,3.110,11.478,青岛每日优鲜,102,129,231
张扬,21,206,85,209,22,9,266,341,348,3.074,12.040,青岛每日优鲜,150,83,233
许家晗,28,182,82,187,21,9,237,321,332,2.984,10.948,青岛每日优鲜,132,70,202
张祖铭,26,205,95,201,22,9.5,263,328,349,3.260,11.425,青岛每日优鲜,150,76,226
张骋宇,32,192,71,190,19.5,8,246,305,319,3.283,13.500,青岛每日优鲜,,,
赵泰隆,31,192,91,194,20,9,251,320,333,3.141,11.167,青岛每日优鲜,,,
赵大鹏,31,196,94,201,22,9,251,321,327,,,青岛每日优鲜,,,
林韦翰,31,178,71,174,20,8.5,225,290,300,3.226,11.667,青岛每日优鲜,,,
李原宇,30,206,127,213,23.5,10.5,268,318,325,3.550,12.793,青岛每日优鲜,,,
高世鳌,21,225,106,232,23,9,294,348,368,3.439,12.276,青岛每日优鲜,,,
孙铭徽,25,186,79,189,20,9,241,314,335,3.148,10.889,浙江广厦控股,96,90,186
赵嘉仁,22,203,96,203,21,8,259,327,341,3.411,12.112,浙江广厦控股,150,76,226
赵嘉义,22,205,98,206,22,8.5,264,335,342,3.297,12.034,浙江广厦控股,150,76,226
杜金伦,22,197,94,195,21,8.5,248,320,326,3.391,11.744,浙江广厦控股,140,76,216
